dataset,ID,station,depth,environment,carbon_per_liter,nitrogen_per_liter,temperature,salinity,mcn,dissolved_oxygen,phosphate,total_P,nitrate,nitrite,nitrate_nitrite,ammonium,total_N,chl_a,latitude,longitude,pH,par,doC,tdN,poC,pN,year,month,day,insolation,diC,date
chesapeake,3-1-S-20,3.1,Surface,seawater,0.079485013,0.009439897,28.88709796,1.309420408,1.704350566,3.90454898,,,,,,,,1.988036735,39.2495,-76.2405,7.918183673,8.5666449,,,,,,,,,,
chesapeake,3-1-S-5,3.1,Surface,seawater,0.866377613,0.054890962,28.88709796,1.309420408,1.718260789,3.90454898,,,,,,,,1.988036735,39.2495,-76.2405,7.918183673,8.5666449,,,,,,,,,,
chesapeake,3-2-B-0-2,3.2,Bottom,seawater,NA,NA,27.51616739,7.895728261,1.630193966,1.340467391,,,,,,,,1.693945652,39.16369,-76.30631,7.6725,0.01273587,,,,,,,,,,
chesapeake,3-2-B-1-2,3.2,Bottom,seawater,1.116414322,0.145880604,27.51616739,7.895728261,1.712615347,1.340467391,,,,,,,,1.693945652,39.16369,-76.30631,7.6725,0.01273587,,,,,,,,,,
chesapeake,3-2-B-180,3.2,Bottom,seawater,0.041892479,0.004729709,27.51616739,7.895728261,1.80862736,1.340467391,,,,,,,,1.693945652,39.16369,-76.30631,7.6725,0.01273587,,,,,,,,,,
chesapeake,3-2-B-20,3.2,Bottom,seawater,0.146492364,0.015594827,27.51616739,7.895728261,1.776219455,1.340467391,,,,,,,,1.693945652,39.16369,-76.30631,7.6725,0.01273587,,,,,,,,,,
chesapeake,3-2-B-5,3.2,Bottom,seawater,0.554507835,0.069166178,27.51616739,7.895728261,1.768698829,1.340467391,,,,,,,,1.693945652,39.16369,-76.30631,7.6725,0.01273587,,,,,,,,,,
chesapeake,3-2-B-500,3.2,Bottom,seawater,0.021382841,0.003502966,27.51616739,7.895728261,1.873978846,1.340467391,,,,,,,,1.693945652,39.16369,-76.30631,7.6725,0.01273587,,,,,,,,,,
chesapeake,3-2-B-53,3.2,Bottom,seawater,0.053457841,0.009267152,27.51616739,7.895728261,1.743963622,1.340467391,,,,,,,,1.693945652,39.16369,-76.30631,7.6725,0.01273587,,,,,,,,,,
chesapeake,3-2-S-0-2,3.2,Surface,seawater,NA,NA,28.21413478,5.391554348,1.625641164,4.23788913,,,,,,,,2.466136957,39.16369,-76.30631,7.917869565,3.93922717,,,,,,,,,,
chesapeake,3-2-S-1-2,3.2,Surface,seawater,1.183806058,0.150578928,28.21413478,5.391554348,1.726959,4.23788913,,,,,,,,2.466136957,39.16369,-76.30631,7.917869565,3.93922717,,,,,,,,,,
chesapeake,3-2-S-180,3.2,Surface,seawater,0.019773228,0.002072499,28.21413478,5.391554348,1.858028058,4.23788913,,,,,,,,2.466136957,39.16369,-76.30631,7.917869565,3.93922717,,,,,,,,,,
chesapeake,3-2-S-20,3.2,Surface,seawater,0.045137777,0.007009274,28.21413478,5.391554348,1.733955913,4.23788913,,,,,,,,2.466136957,39.16369,-76.30631,7.917869565,3.93922717,,,,,,,,,,
chesapeake,3-2-S-5,3.2,Surface,seawater,0.594326793,0.051946503,28.21413478,5.391554348,1.730491085,4.23788913,,,,,,,,2.466136957,39.16369,-76.30631,7.917869565,3.93922717,,,,,,,,,,
chesapeake,3-2-S-500,3.2,Surface,seawater,0.01478636,0.00167173,28.21413478,5.391554348,1.813025409,4.23788913,,,,,,,,2.466136957,39.16369,-76.30631,7.917869565,3.93922717,,,,,,,,,,
chesapeake,3-2-S-53,3.2,Surface,seawater,0.050852866,0.007380638,28.21413478,5.391554348,1.802191075,4.23788913,,,,,,,,2.466136957,39.16369,-76.30631,7.917869565,3.93922717,,,,,,,,,,
chesapeake,3-3-B-0-2,3.3,Oxycline,seawater,NA,NA,28.91929348,6.767269565,1.694035499,4.837482609,,,,,,,,3.030806522,38.99596,-76.35967,8.394434783,0.01259917,,,,,,,,,,
chesapeake,3-3-B-1-2,3.3,Oxycline,seawater,0.960671932,0.114739925,28.91929348,6.767269565,1.726028523,4.837482609,,,,,,,,3.030806522,38.99596,-76.35967,8.394434783,0.01259917,,,,,,,,,,
chesapeake,3-3-B-180,3.3,Oxycline,seawater,0.100954453,0.002293244,28.91929348,6.767269565,1.769755181,4.837482609,,,,,,,,3.030806522,38.99596,-76.35967,8.394434783,0.01259917,,,,,,,,,,
chesapeake,3-3-B-20,3.3,Oxycline,seawater,0.187287129,0.017464409,28.91929348,6.767269565,1.822762385,4.837482609,,,,,,,,3.030806522,38.99596,-76.35967,8.394434783,0.01259917,,,,,,,,,,
chesapeake,3-3-B-5,3.3,Oxycline,seawater,0.773061681,0.052484673,28.91929348,6.767269565,1.725323923,4.837482609,,,,,,,,3.030806522,38.99596,-76.35967,8.394434783,0.01259917,,,,,,,,,,
chesapeake,3-3-B-500,3.3,Oxycline,seawater,0.343914912,0.002957665,28.91929348,6.767269565,1.872428684,4.837482609,,,,,,,,3.030806522,38.99596,-76.35967,8.394434783,0.01259917,,,,,,,,,,
chesapeake,3-3-B-53,3.3,Oxycline,seawater,0.453223849,0.019624366,28.91929348,6.767269565,2.015550192,4.837482609,,,,,,,,3.030806522,38.99596,-76.35967,8.394434783,0.01259917,,,,,,,,,,
chesapeake,3-3-S-180,3.3,Surface,seawater,0.036690884,0.001788826,29.04132353,5.519443137,1.906653717,6.809407843,,,,,,,,5.669545098,38.99596,-76.35967,8.634607843,0.43785596,,,,,,,,,,
chesapeake,3-3-S-20,3.3,Surface,seawater,0.120333012,0.010962464,29.04132353,5.519443137,1.712771063,6.809407843,,,,,,,,5.669545098,38.99596,-76.35967,8.634607843,0.43785596,,,,,,,,,,
chesapeake,3-3-S-500,3.3,Surface,seawater,0.049115406,0.003040079,29.04132353,5.519443137,1.870026956,6.809407843,,,,,,,,5.669545098,38.99596,-76.35967,8.634607843,0.43785596,,,,,,,,,,
chesapeake,3-3-S-53,3.3,Surface,seawater,NA,NA,29.04132353,5.519443137,1.795299659,6.809407843,,,,,,,,5.669545098,38.99596,-76.35967,8.634607843,0.43785596,,,,,,,,,,
chesapeake,4-3-B-0-2,4.3,Bottom,seawater,NA,NA,23.40519341,19.68129011,1.84933278,0.03736044,,,,,,,,0.51826044,38.55505,-76.42794,7.612549451,0.01260256,,,,,,,,,,
chesapeake,4-3-B-1-2,4.3,Bottom,seawater,3.303904469,0.104632892,23.40519341,19.68129011,1.834512216,0.03736044,,,,,,,,0.51826044,38.55505,-76.42794,7.612549451,0.01260256,,,,,,,,,,
chesapeake,4-3-B-180,4.3,Bottom,seawater,0.018877212,0.001278456,23.40519341,19.68129011,2.638661101,0.03736044,,,,,,,,0.51826044,38.55505,-76.42794,7.612549451,0.01260256,,,,,,,,,,
chesapeake,4-3-B-20,4.3,Bottom,seawater,0.065934429,0.004138007,23.40519341,19.68129011,2.183273433,0.03736044,,,,,,,,0.51826044,38.55505,-76.42794,7.612549451,0.01260256,,,,,,,,,,
chesapeake,4-3-B-5,4.3,Bottom,seawater,1.185660975,0.046631029,23.40519341,19.68129011,1.821296431,0.03736044,,,,,,,,0.51826044,38.55505,-76.42794,7.612549451,0.01260256,,,,,,,,,,
chesapeake,4-3-B-500,4.3,Bottom,seawater,0.070160511,0.002481115,23.40519341,19.68129011,2.302710404,0.03736044,,,,,,,,0.51826044,38.55505,-76.42794,7.612549451,0.01260256,,,,,,,,,,
chesapeake,4-3-B-53,4.3,Bottom,seawater,0.117409564,0.004580298,23.40519341,19.68129011,2.321613465,0.03736044,,,,,,,,0.51826044,38.55505,-76.42794,7.612549451,0.01260256,,,,,,,,,,
chesapeake,4-3-O-1-2,4.3,Oxycline,seawater,1.157834998,0.087820234,28.26795652,10.41439783,1.782656788,2.783723913,,,,,,,,1.823336957,38.55505,-76.42794,8.459,0.483895,,,,,,,,,,
chesapeake,4-3-O-180,4.3,Oxycline,seawater,0.09764407,0.001557274,28.26795652,10.41439783,2.029623585,2.783723913,,,,,,,,1.823336957,38.55505,-76.42794,8.459,0.483895,,,,,,,,,,
chesapeake,4-3-O-5,4.3,Oxycline,seawater,0.570368443,0.025621732,28.26795652,10.41439783,1.765833431,2.783723913,,,,,,,,1.823336957,38.55505,-76.42794,8.459,0.483895,,,,,,,,,,
chesapeake,4-3-O-500,4.3,Oxycline,seawater,0.161461935,0.003058264,28.26795652,10.41439783,2.386166484,2.783723913,,,,,,,,1.823336957,38.55505,-76.42794,8.459,0.483895,,,,,,,,,,
chesapeake,4-3-O-53,4.3,Oxycline,seawater,0.057593169,0.009852823,28.26795652,10.41439783,1.737558577,2.783723913,,,,,,,,1.823336957,38.55505,-76.42794,8.459,0.483895,,,,,,,,,,
chesapeake,4-3-S-0-2,4.3,Surface,seawater,NA,NA,29.55167111,9.220331111,2.271398073,6.435515556,,,,,,,,2.576871111,38.55505,-76.42794,8.723911111,5.49693556,,,,,,,,,,
chesapeake,4-3-S-180,4.3,Surface,seawater,0.13654485,0.002178612,29.55167111,9.220331111,1.841438964,6.435515556,,,,,,,,2.576871111,38.55505,-76.42794,8.723911111,5.49693556,,,,,,,,,,
chesapeake,4-3-S-20,4.3,Surface,seawater,0.137353712,0.007763012,29.55167111,9.220331111,1.637603518,6.435515556,,,,,,,,2.576871111,38.55505,-76.42794,8.723911111,5.49693556,,,,,,,,,,
chesapeake,4-3-S-500,4.3,Surface,seawater,0.127433375,0.003164761,29.55167111,9.220331111,1.714852957,6.435515556,,,,,,,,2.576871111,38.55505,-76.42794,8.723911111,5.49693556,,,,,,,,,,
chesapeake,4-3-S-53,4.3,Surface,seawater,0.193708532,0.011415488,29.55167111,9.220331111,1.714471544,6.435515556,,,,,,,,2.576871111,38.55505,-76.42794,8.723911111,5.49693556,,,,,,,,,,
chesapeake,5-1-S-1-2,5.1,Surface,seawater,2.387875042,0.325684963,29.45354583,10.71157083,1.907621399,5.682822917,,,,,,,,2.773583333,38.3187,-76.29215,8.7154375,0.60108854,,,,,,,,,,
chesapeake,5-1-S-180,5.1,Surface,seawater,0.030556257,0.002083245,29.45354583,10.71157083,1.765732982,5.682822917,,,,,,,,2.773583333,38.3187,-76.29215,8.7154375,0.60108854,,,,,,,,,,
chesapeake,5-1-S-20,5.1,Surface,seawater,0.052217512,0.005881813,29.45354583,10.71157083,1.820119519,5.682822917,,,,,,,,2.773583333,38.3187,-76.29215,8.7154375,0.60108854,,,,,,,,,,
chesapeake,5-1-S-5,5.1,Surface,seawater,0.591065939,0.044007468,29.45354583,10.71157083,1.854234876,5.682822917,,,,,,,,2.773583333,38.3187,-76.29215,8.7154375,0.60108854,,,,,,,,,,
chesapeake,5-1-S-500,5.1,Surface,seawater,0.108291569,0.006173829,29.45354583,10.71157083,1.867322692,5.682822917,,,,,,,,2.773583333,38.3187,-76.29215,8.7154375,0.60108854,,,,,,,,,,
chesapeake,5-1-S-53,5.1,Surface,seawater,0.041960139,0.006621773,29.45354583,10.71157083,1.87395058,5.682822917,,,,,,,,2.773583333,38.3187,-76.29215,8.7154375,0.60108854,,,,,,,,,,
chesapeake,5-5-B-0-2,5.5,Bottom,seawater,NA,NA,25.58955909,20.04574318,1.991840233,0.273834091,,,,,,,,0.645531818,37.6918,-76.18967,7.780181818,0.02345916,,,,,,,,,,
chesapeake,5-5-B-180,5.5,Bottom,seawater,0.018799896,0.002893951,25.58955909,20.04574318,2.028201841,0.273834091,,,,,,,,0.645531818,37.6918,-76.18967,7.780181818,0.02345916,,,,,,,,,,
chesapeake,5-5-B-5,5.5,Bottom,seawater,0.225696729,0.02637685,25.58955909,20.04574318,1.807236672,0.273834091,,,,,,,,0.645531818,37.6918,-76.18967,7.780181818,0.02345916,,,,,,,,,,
chesapeake,5-5-B-500,5.5,Bottom,seawater,0.039749311,0.003163963,25.58955909,20.04574318,1.985575604,0.273834091,,,,,,,,0.645531818,37.6918,-76.18967,7.780181818,0.02345916,,,,,,,,,,
chesapeake,5-5-B-53,5.5,Bottom,seawater,0.078699015,0.004682984,25.58955909,20.04574318,1.945546075,0.273834091,,,,,,,,0.645531818,37.6918,-76.18967,7.780181818,0.02345916,,,,,,,,,,
chesapeake,5-5-S-180,5.5,Surface,seawater,0.027490638,0.002882616,30.08593182,12.544125,1.857560063,7.858227273,,,,,,,,2.476106818,37.6918,-76.18967,8.813386364,2.369175,,,,,,,,,,
chesapeake,5-5-S-5,5.5,Surface,seawater,0.715625187,0.044046475,30.08593182,12.544125,1.72609063,7.858227273,,,,,,,,2.476106818,37.6918,-76.18967,8.813386364,2.369175,,,,,,,,,,
chesapeake,5-5-S-500,5.5,Surface,seawater,0.016266516,8.96E-04,30.08593182,12.544125,1.871388261,7.858227273,,,,,,,,2.476106818,37.6918,-76.18967,8.813386364,2.369175,,,,,,,,,,
chesapeake,5-5-S-53,5.5,Surface,seawater,0.10746734,0.007896709,30.08593182,12.544125,1.854921628,7.858227273,,,,,,,,2.476106818,37.6918,-76.18967,8.813386364,2.369175,,,,,,,,,,
chesapeake,C_5P1B_0P2,5.1,Bottom,seawater,NA,NA,23.44238333,20.45406667,1.849444697,0.031516667,,,,,,,,0.526966667,38.3187,-76.29215,7.581166667,0.01257083,,,,,,,,,,
chesapeake,C_5P1B_180,5.1,Bottom,seawater,0.017217684,0.001393329,23.44238333,20.45406667,1.816673154,0.031516667,,,,,,,,0.526966667,38.3187,-76.29215,7.581166667,0.01257083,,,,,,,,,,
chesapeake,C_5P1B_1P2,5.1,Bottom,seawater,0.911722167,0.109425432,23.44238333,20.45406667,1.861698774,0.031516667,,,,,,,,0.526966667,38.3187,-76.29215,7.581166667,0.01257083,,,,,,,,,,
chesapeake,C_5P1B_20,5.1,Bottom,seawater,0.079012443,0.008248564,23.44238333,20.45406667,1.94023275,0.031516667,,,,,,,,0.526966667,38.3187,-76.29215,7.581166667,0.01257083,,,,,,,,,,
chesapeake,C_5P1B_500,5.1,Bottom,seawater,0.121103504,0.001318478,23.44238333,20.45406667,1.762102863,0.031516667,,,,,,,,0.526966667,38.3187,-76.29215,7.581166667,0.01257083,,,,,,,,,,
chesapeake,C_5P1B_53,5.1,Bottom,seawater,0.022837103,0.001694302,23.44238333,20.45406667,1.917283941,0.031516667,,,,,,,,0.526966667,38.3187,-76.29215,7.581166667,0.01257083,,,,,,,,,,
baltic,P20310_101,263729,1 m,seawater,,,4.843333333,7.29,2.174266257,9,0.43,0.726666667,0.1,0.02,0.1,0.2,19.76666667,1,56.37082,16.20173,,,,,,,,,,,,
baltic,P20310_102,263628,1 m,seawater,,,12.73333333,25.49,2.114027255,6.633333333,0.046666667,0.393333333,0.1,0.023333333,0.1,0.2,13.36666667,1.266666667,58.25833,11.43333,,,,,,,,,,,,
baltic,P20310_103,263729,1 m,seawater,,,8.696666667,7.11,2.055817787,8.1,0.373333333,0.826666667,0.1,0.02,0.1,0.2,22.5,0.566666667,56.37127,16.20133,,,,,,,,,,,,
baltic,P20310_104,263953,0-3 cm,seawater,,,13.12666667,7.44,1.673363025,7,0.233333333,0.61,0.23,0.12,0.35,0.32,23.66666667,NA,55.55527,18.40022,,,,,,,,,,,,
baltic,P20310_105,264876,0-3 cm,seawater,,,12.70333333,23.56,1.939757711,6.333333333,0.136666667,0.6,0.1,0.02,0.1,0.2,15.33333333,1.3,56.6687,12.1112,,,,,,,,,,,,
baltic,P20310_106,264876,1 m,seawater,,,18.40333333,18.15,2.055784673,6.1,0.06,0.526666667,0.1,0.02,0.1,0.2,17.1,0.666666667,56.66855,12.11145,,,,,,,,,,,,
baltic,P20310_107,263730,1 m,seawater,,,15.98666667,7.25,1.881193572,7.5,0.056666667,0.65,0.1,0.026666667,0.1,0.2,23.96666667,5.5,57.3122,20.0762,,,,,,,,,,,,
baltic,P20310_108,263903,1 m,seawater,,,NA,NA,2.145311364,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.94068,12.2115,,,,,,,,,,,,
baltic,P20310_110,263730,1 m,seawater,,,18.54666667,6.88,1.602954733,6.7,0.083333333,0.613333333,0.1,0.026666667,0.1,0.2,24.26666667,3.633333333,57.31215,20.07623,,,,,,,,,,,,
baltic,P20310_111,263953,1 m,seawater,,,16.23333333,7.32,1.763857934,7.6,0.096666667,0.76,0.1,0.02,0.1,0.2,24.66666667,3.666666667,55.55528,18.40023,,,,,,,,,,,,
baltic,P20310_112,263953,1 m,seawater,,,5.51,7.15,1.790016486,NA,0.703333333,0.976666667,2.466666667,0.17,2.636666667,0.2,21.06666667,0.433333333,55.56077,18.39718,,,,,,,,,,,,
baltic,P20310_113,263903,1 m,seawater,,,6.82,25.24,2.028725083,6.6,0.465,0.815,3.495,0.165,3.66,0.805,16.45,2.3,56.9401,12.21197,,,,,,,,,,,,
baltic,P20310_114,263979,1 m,seawater,,,16.59666667,6.84,1.706301388,6.733333333,0.116666667,0.606666667,0.1,0.026666667,0.1,0.2,24.46666667,2.966666667,57.11717,17.66892,,,,,,,,,,,,
baltic,P20310_115,263728,1 m,seawater,,,13.37,7.43,2.107923382,7.6,0.226666667,0.643333333,0.1,0.02,0.1,0.2,20,1.066666667,55.25,15.98407,,,,,,,,,,,,
baltic,P20310_116,263628,1 m,seawater,,,4.516666667,32.12,2.107463671,NA,NA,0.726666667,NA,3,NA,NA,14.16666667,0.4,58.25983,11.43517,,,,,,,,,,,,
baltic,P20310_117,263979,0-3 cm,seawater,,,10.62,6.66,1.72716578,7.5,0.186666667,0.616666667,0.1,0.033333333,0.1,0.2,22.4,2.3,57.11722,17.66872,,,,,,,,,,,,
baltic,P20310_118,264194,0-3 cm,seawater,,,12.14,33.32,2.205394106,6,0.073333333,0.446666667,0.1,0.02,0.1,0.226666667,9.066666667,1.133333333,58.2843,10.50418,,,,,,,,,,,,
baltic,P20310_119,263728,1 m,seawater,,,19.46333333,7.71,1.674433709,6.4,0.07,0.576666667,0.1,0.023333333,0.1,0.2,21.93333333,2,55.25002,15.98418,,,,,,,,,,,,
baltic,P20310_120,263729,1 m,seawater,,,16.36,7.12,1.98933553,7.133333333,0.273333333,0.77,0.1,0.02,0.1,0.2,26.73333333,2.933333333,56.37093,16.20183,,,,,,,,,,,,
baltic,P20310_121,263979,1 m,seawater,,,13.12666667,7.05,2.278804844,8.133333333,0.193333333,0.826666667,0.1,0.02,0.1,0.2,20.56666667,1.466666667,57.11702,17.66893,,,,,,,,,,,,
baltic,P20310_122,263725,1 m,seawater,,,3.476666667,7.76,1.871595592,9.1,0.563333333,0.916666667,1.896666667,0.173333333,2.07,0.2,21.13333333,1.233333333,54.9712,14.0987,,,,,,,,,,,,
baltic,P20310_123,263979,1 m,seawater,,,4.21,7.18,1.892666717,8.4,0.746666667,1.056666667,2.53,0.1,2.63,0.2,19.73333333,0.333333333,57.11715,17.6687,,,,,,,,,,,,
baltic,P20310_124,264194,1 m,seawater,,,16.76333333,29.62,1.974278448,5.8,0.053333333,0.446666667,0.1,0.02,0.1,0.2,11.46666667,0.9,58.28423,10.50432,,,,,,,,,,,,
baltic,P20310_125,263730,0-3 cm,seawater,,,5.606666667,7.32,1.852298352,7.733333333,0.576666667,0.873333333,2.523333333,0.06,2.583333333,0.2,21.6,0.433333333,57.31173,20.07483,,,,,,,,,,,,
baltic,P20310_126,263745,0-3 cm,seawater,,,4.303333333,7.1,1.878113596,8.4,0.7,1.013333333,3.976666667,0.12,4.096666667,0.2,21.36666667,0.2,58.88182,20.32765,,,,,,,,,,,,
baltic,P20310_127,264194,1 m,seawater,,,5.53,33.37,2.268037507,7.1,0.333333333,0.72,3.636666667,0.11,3.746666667,0.2,16.73333333,1.633333333,58.28403,10.50365,,,,,,,,,,,,
baltic,P20310_128,263979,1 m,seawater,,,3.606666667,7.05,2.263916758,9.5,0.513333333,0.893333333,0.1,0.02,0.1,0.2,20.9,4.2,57.11712,17.66855,,,,,,,,,,,,
baltic,P20310_129,263730,1 m,seawater,,,3.21,7.42,1.982112673,9,0.623333333,0.976666667,2.66,0.09,2.75,0.2,20,1.8,57.31233,20.07635,,,,,,,,,,,,
baltic,P20310_130,263728,1 m,seawater,,,7.73,7.62,1.702456551,NA,0.533333333,0.813333333,1.896666667,0.043333333,1.94,0.2,19.73333333,2.033333333,55.25017,15.98417,,,,,,,,,,,,
baltic,P20310_131,264876,0.01 m,seawater,,,NA,NA,1.964547966,NA,0.06,0.543333333,0.1,0.02,0.1,0.2,16.16666667,1.133333333,56.66795,12.1109,,,,,,,,,,,,
baltic,P20310_132,264194,0.01 m,seawater,,,6.176666667,32.41,2.062882453,NA,0.49,0.733333333,5.563333333,0.07,5.633333333,0.2,13.16666667,0.766666667,58.28523,10.50647,,,,,,,,,,,,
baltic,P20310_133,263628,1 m,seawater,,,6.566666667,28.97,2.115572039,NA,0.523333333,0.806666667,5.943333333,0.196666667,6.14,0.833333333,17.66666667,0.4,58.25833,11.43333,,,,,,,,,,,,
baltic,P20310_134,263745,1 m,seawater,,,2.966666667,7.2,2.363102541,9.266666667,0.58,0.903333333,1.426666667,0.07,1.496666667,0.2,21.96666667,4.733333333,58.88183,20.32782,,,,,,,,,,,,
baltic,P20310_135,264194,0-3 cm,seawater,,,6.716666667,30.45,2.6783383,7.4,0.033333333,0.536666667,0.1,0.02,0.1,0.2,12.36666667,1.666666667,58.28418,10.50413,,,,,,,,,,,,
baltic,P20310_136,263903,0-3 cm,seawater,,,6.553333333,19.39,2.49710229,8.033333333,0.086666667,0.616666667,0.1,0.036666667,0.1,0.2,19.73333333,4.5,56.93988,12.21183,,,,,,,,,,,,
baltic,P20310_137,263729,1 m,seawater,,,6.596666667,6.91,1.793711685,NA,0.573333333,0.88,1.453333333,0.77,2.223333333,0.613333333,21.03333333,1.233333333,56.37078,16.20198,,,,,,,,,,,,
baltic,P20310_138,263728,1 m,seawater,,,12.76,7.63,1.615936205,7,0.246666667,0.683333333,0.1,0.076666667,0.1,0.2,21.96666667,1.9,55.25,15.98405,,,,,,,,,,,,
baltic,P20310_139,263729,1 m,seawater,,,15.01,7.1,1.859576858,7.2,0.29,0.77,0.1,0.02,0.1,0.2,19.13333333,0.933333333,56.37083,16.20205,,,,,,,,,,,,
baltic,P20310_140,263728,1 m,seawater,,,3.773333333,7.69,1.75436894,8.966666667,0.586666667,0.976666667,2.016666667,0.116666667,2.133333333,0.2,20.96666667,1.266666667,55.25005,15.98423,,,,,,,,,,,,
baltic,P20310_141,264876,1 m,seawater,,,14.97,19.19,2.009228058,6.566666667,0.053333333,0.46,0.1,0.02,0.1,0.2,15.56666667,0.95,56.66868,12.11128,,,,,,,,,,,,
baltic,P20310_142,263628,1 m,seawater,,,17.23,23.24,1.987924472,5.9,0.056666667,0.576666667,0.1,0.023333333,0.1,0.2,14.9,0.966666667,58.25833,11.43333,,,,,,,,,,,,
baltic,P20310_143,263730,0-3 cm,seawater,,,3.813333333,7.51,1.712106776,8.8,0.626666667,0.896666667,2.836666667,0.03,2.866666667,0.2,21.73333333,0.8,57.31222,20.07562,,,,,,,,,,,,
baltic,P20310_144,264194,0-3 cm,seawater,,,13.11,30.59,2.117158987,6.433333333,0.04,0.37,0.1,0.02,0.1,0.2,10.4,0.866666667,58.28437,10.50433,,,,,,,,,,,,
baltic,P20310_145,263903,1 m,seawater,,,3.183333333,20.67,2.349388453,8.666666667,0.106666667,0.773333333,3.25,0.076666667,3.326666667,0.216666667,20.66666667,8.6,56.94047,12.21183,,,,,,,,,,,,
baltic,P20310_146,263628,1 m,seawater,,,6.723333333,26.83,2.103446131,NA,0.466666667,NA,4.69,0.19,4.88,1.44,NA,0.466666667,58.25983,11.43567,,,,,,,,,,,,
baltic,P20310_147,263729,1 m,seawater,,,17.01,7.09,1.765123314,6,0.246666667,0.786666667,0.1,0.023333333,0.1,0.2,22.56666667,2.3,56.37093,16.20202,,,,,,,,,,,,
baltic,P20310_148,263729,1 m,seawater,,,2.55,7.17,1.780898648,9,0.646666667,1.296666667,2.106666667,0.59,2.696666667,0.2,23.26666667,1.333333333,56.37073,16.20153,,,,,,,,,,,,
baltic,P20310_149,263628,1 m,seawater,,,18.09333333,23.71,2.298897935,5.9,0.06,0.636666667,0.1,0.02,0.1,0.203333333,17.16666667,2.933333333,58.25833,11.43333,,,,,,,,,,,,
baltic,P20310_150,263953,1 m,seawater,,,12.03666667,7.44,2.038324853,8.033333333,0.17,0.7,0.1,0.023333333,0.1,0.2,21.46666667,1.533333333,55.55533,18.40023,,,,,,,,,,,,
baltic,P20310_151,263628,0-3 cm,seawater,,,5.593333333,29.83,2.131403444,NA,0.526666667,0.856666667,7.17,0.263333333,7.433333333,0.213333333,17.36666667,1.466666667,58.25972,11.43478,,,,,,,,,,,,
baltic,P20310_152,263730,0-3 cm,seawater,,,4.85,7.33,2.006526902,NA,0.716666667,1.03,3.373333333,0.09,3.463333333,0.2,20.36666667,0.433333333,57.3124,20.08198,,,,,,,,,,,,
baltic,P20310_153,264876,1 m,seawater,,,4.336666667,25.77,2.198192149,7.6,0.29,0.69,1.733333333,0.05,1.783333333,0.2,15.06666667,3.9,56.66867,12.11135,,,,,,,,,,,,
baltic,P20310_154,263728,1 m,seawater,,,15.92,7.65,1.595014957,6.6,0.156666667,0.703333333,0.1,0.02,0.1,0.2,22.1,2.4,55.24993,15.98447,,,,,,,,,,,,
baltic,P20310_155,263628,1 m,seawater,,,17.60666667,26.34,1.983671261,5.9,0.05,0.363333333,0.1,0.02,0.1,0.2,12.76666667,0.733333333,58.25,11.43333,,,,,,,,,,,,
